sale_id,date_time,item type,weight,country name,cost
81,2016-08-11 11:57:00,letter,0.35,French Polynesia,12.0
81,2016-08-11 11:57:00,parcel,19.02,Romania,341.29
82,2016-12-10 13:43:00,letter,0.1,Norway,9.0
83,2016-10-31 15:56:00,letter,0.29,South Africa,18.0
83,2016-10-31 15:56:00,letter,0.11,Cambodia,6.0
83,2016-10-31 15:56:00,parcel,14.34,United States,157.35
84,2016-06-05 17:57:00,letter,0.34,Cambodia,12.0
85,2017-03-07 11:17:00,letter,0.26,Brazil,18.0
86,2017-04-08 14:10:00,letter,0.23,Serbia,9.0
86,2017-04-08 14:10:00,letter,0.29,Mauritius,18.0
86,2017-04-08 14:10:00,letter,0.16,Czech Republic,9.0
87,2017-09-25 16:44:00,parcel,13.82,Taiwan - Province Of China,153.39
87,2017-09-25 16:44:00,letter,0.38,Lao People's Democratic Republic,12.0
87,2017-09-25 16:44:00,letter,0.22,Chile,9.0
88,2017-05-24 11:13:00,parcel,12.83,Peru,295.99
88,2017-05-24 11:13:00,letter,0.42,Nauru,12.0
88,2017-05-24 11:13:00,parcel,8.62,Canada,157.35
89,2016-07-18 13:20:00,letter,0.35,Germany,18.0
89,2016-07-18 13:20:00,parcel,10.02,Cook Islands,161.41
90,2016-03-10 12:11:00,letter,0.37,Chile,18.0
90,2016-03-10 12:11:00,parcel,18.83,Malaysia,178.1
91,2016-12-17 13:41:00,parcel,3.17,United Kingdom,93.04
91,2016-12-17 13:41:00,parcel,4.15,Nauru,87.03
91,2016-12-17 13:41:00,parcel,2.84,India,69.54
92,2016-05-27 13:06:00,parcel,14.72,Macedonia - The Former Yugoslav Republic Of,280.85
93,2017-05-23 12:03:00,parcel,19.28,Spain,206.04
94,2017-09-22 14:14:00,parcel,6.65,Hong Kong,153.39
94,2017-09-22 14:14:00,letter,0.24,Myanmar,6.0
95,2017-05-24 12:53:00,letter,0.38,Chile,18.0
96,2017-04-17 13:27:00,letter,0.16,Kenya,9.0
96,2017-04-17 13:27:00,letter,0.45,Mexico,18.0
97,2017-01-06 12:37:00,letter,0.36,New Caledonia,12.0
98,2017-11-15 13:01:00,letter,0.13,Poland,9.0
98,2017-11-15 13:01:00,parcel,1.4,French Polynesia,53.46
98,2017-11-15 13:01:00,letter,0.3,Saudi Arabia,18.0
99,2016-07-14 12:21:00,letter,0.45,Cook Islands,12.0
99,2016-07-14 12:21:00,letter,0.32,New Caledonia,12.0
100,2016-03-25 11:41:00,letter,0.45,Sweden,18.0
101,2016-03-26 12:57:00,letter,0.21,Estonia,9.0
102,2017-10-13 13:11:00,parcel,11.6,New Zealand,97.77
103,2017-12-16 14:12:00,parcel,2.58,India,69.54
103,2017-12-16 14:12:00,parcel,12.59,Canada,157.35
103,2017-12-16 14:12:00,parcel,16.7,Germany,206.04
104,2016-05-19 14:22:00,letter,0.41,Canada,18.0
105,2016-05-29 13:05:00,parcel,0.59,Italy,43.95
105,2016-05-29 13:05:00,parcel,14.38,Vanuatu,161.41
105,2016-05-29 13:05:00,letter,0.17,Czech Republic,9.0
106,2017-10-31 14:01:00,letter,0.37,Germany,18.0
106,2017-10-31 14:01:00,letter,0.28,Papua New Guinea,12.0
107,2016-03-26 12:48:00,letter,0.42,Portugal,18.0
108,2016-08-06 08:17:00,letter,0.47,Korea - Republic Of,12.0
108,2016-08-06 08:17:00,parcel,7.78,Switzerland,178.94
108,2016-08-06 08:17:00,letter,0.17,Cambodia,6.0
109,2016-05-10 14:20:00,letter,0.38,Denmark,18.0
110,2016-04-20 13:05:00,letter,0.26,Italy,18.0
111,2017-09-18 17:26:00,parcel,5.53,New Caledonia,135.44
111,2017-09-18 17:26:00,letter,0.27,Arab Emirates,18.0
112,2017-11-07 12:22:00,parcel,7.37,Brazil,280.85
113,2017-11-16 14:35:00,parcel,19.7,Poland,341.29
114,2017-10-29 12:59:00,parcel,5.34,Turkey,207.86
114,2017-10-29 12:59:00,letter,0.49,Arab Emirates,18.0
114,2017-10-29 12:59:00,parcel,13.26,Cambodia,161.41
115,2016-10-04 13:10:00,parcel,12.03,Hungary,280.85
116,2017-01-01 13:55:00,parcel,6.71,Pakistan,161.41
116,2017-01-01 13:55:00,letter,0.26,Cambodia,12.0
116,2017-01-01 13:55:00,parcel,6.79,China,145.53
117,2016-03-09 13:27:00,letter,0.11,Mauritius,9.0
117,2016-03-09 13:27:00,letter,0.17,Russian Federation,9.0
117,2016-03-09 13:27:00,letter,0.14,Thailand,6.0
118,2017-05-22 13:20:00,letter,0.21,Belgium,9.0
118,2017-05-22 13:20:00,parcel,17.6,Germany,206.04
118,2017-05-22 13:20:00,letter,0.28,Cambodia,12.0
119,2017-03-12 14:33:00,parcel,6.92,Peru,295.99
119,2017-03-12 14:33:00,letter,0.35,Fiji,12.0
120,2016-08-31 11:36:00,letter,0.46,Kenya,18.0
121,2016-03-27 16:17:00,letter,0.48,Arab Emirates,18.0
121,2016-03-27 16:17:00,letter,0.43,Myanmar,12.0
121,2016-03-27 16:17:00,parcel,1.63,Japan,63.45
122,2017-02-16 14:21:00,letter,0.21,New Caledonia,6.0
123,2016-09-17 13:01:00,parcel,16.3,Switzerland,206.04
123,2016-09-17 13:01:00,letter,0.27,Bahrain,18.0
124,2017-04-07 15:49:00,parcel,1.52,Papua New Guinea,65.83
125,2017-01-28 12:37:00,parcel,3.04,Belgium,128.08
126,2017-05-18 12:28:00,parcel,3.84,Lao People's Democratic Republic,87.03
127,2016-01-21 12:54:00,letter,0.1,Canada,9.0
128,2016-05-14 13:34:00,letter,0.15,Romania,9.0
129,2016-03-04 11:39:00,letter,0.37,Cambodia,12.0
130,2017-08-05 11:38:00,parcel,8.12,Macedonia - The Former Yugoslav Republic Of,280.85
130,2017-08-05 11:38:00,letter,0.23,Czech Republic,9.0
131,2017-04-20 14:22:00,letter,0.4,Finland,18.0
132,2017-09-02 13:13:00,letter,0.34,Portugal,18.0
132,2017-09-02 13:13:00,parcel,5.9,Malta,207.86
132,2017-09-02 13:13:00,letter,0.26,Lao People's Democratic Republic,12.0
133,2017-08-31 13:55:00,letter,0.27,Canada,18.0
134,2017-12-04 11:17:00,letter,0.14,Hong Kong,6.0
135,2016-09-02 13:08:00,letter,0.49,Germany,18.0
135,2016-09-02 13:08:00,letter,0.49,Cyprus,18.0
136,2017-06-23 12:58:00,parcel,10.11,Finland,280.85
137,2016-08-17 15:33:00,parcel,13.68,Italy,178.94
137,2016-08-17 15:33:00,parcel,0.66,Austria,54.77
137,2016-08-17 15:33:00,parcel,18.13,Nepal,187.37
138,2017-02-06 14:54:00,parcel,2.99,Macedonia - The Former Yugoslav Republic Of,106.53
138,2017-02-06 14:54:00,letter,0.32,Poland,18.0
138,2017-02-06 14:54:00,letter,0.39,Chile,18.0
139,2017-05-21 15:00:00,letter,0.43,United Kingdom,18.0
140,2017-10-20 14:27:00,parcel,11.95,Mauritius,295.99
141,2017-03-25 14:41:00,letter,0.39,Vietnam,12.0
141,2017-03-25 14:41:00,letter,0.14,New Zealand,5.5
142,2017-01-25 13:21:00,parcel,11.24,Croatia,280.85
142,2017-01-25 13:21:00,letter,0.48,Kenya,18.0
142,2017-01-25 13:21:00,letter,0.36,Poland,18.0
143,2017-08-26 16:52:00,letter,0.35,Kenya,18.0
143,2017-08-26 16:52:00,letter,0.11,United Kingdom,9.0
144,2017-04-20 11:23:00,parcel,10.19,Pakistan,161.41
144,2017-04-20 11:23:00,parcel,16.33,Turkey,341.29
145,2016-04-09 14:22:00,letter,0.5,Bahrain,18.0
145,2016-04-09 14:22:00,letter,0.41,Portugal,18.0
145,2016-04-09 14:22:00,letter,0.41,Malaysia,12.0
146,2017-01-16 13:19:00,letter,0.26,Brazil,18.0
147,2017-03-25 11:13:00,letter,0.4,Croatia,18.0
148,2016-07-28 14:14:00,parcel,16.67,Lao People's Democratic Republic,187.37
149,2017-05-06 13:22:00,parcel,19.48,Hungary,341.29
150,2017-03-03 13:33:00,letter,0.21,Bahrain,9.0
151,2016-04-06 13:28:00,letter,0.3,Ukraine,18.0
152,2016-10-12 14:00:00,letter,0.38,Kuwait,18.0
153,2016-02-13 17:16:00,letter,0.28,France,18.0
154,2017-07-25 08:23:00,letter,0.36,Cambodia,12.0
155,2016-07-16 10:39:00,letter,0.3,Myanmar,12.0
156,2016-06-25 11:37:00,parcel,7.64,Mexico,295.99
156,2016-06-25 11:37:00,letter,0.39,Norway,18.0
157,2016-10-20 14:23:00,letter,0.3,Czech Republic,18.0
158,2016-07-09 17:03:00,parcel,6.65,Brunei Darussalam,161.41
158,2016-07-09 17:03:00,letter,0.22,Italy,9.0
159,2016-12-07 09:57:00,letter,0.16,Arab Emirates,9.0
160,2017-11-01 15:14:00,letter,0.22,Thailand,6.0
161,2017-12-24 10:56:00,parcel,12.28,Fiji,161.41
161,2017-12-24 10:56:00,parcel,8.72,South Africa,280.85
161,2017-12-24 10:56:00,letter,0.2,Netherlands,9.0
162,2016-04-01 10:08:00,letter,0.13,Netherlands,9.0
162,2016-04-01 10:08:00,letter,0.37,Sri Lanka,12.0
163,2016-01-30 15:08:00,letter,0.27,Arab Emirates,18.0
163,2016-01-30 15:08:00,letter,0.31,Fiji,12.0
164,2016-01-31 14:48:00,parcel,6.07,Mauritius,295.99
164,2016-01-31 14:48:00,parcel,12.19,Malaysia,153.39
165,2017-10-25 15:19:00,letter,0.11,Mexico,9.0
166,2017-03-30 13:32:00,letter,0.5,Serbia,18.0
166,2017-03-30 13:32:00,parcel,15.36,Saudi Arabia,359.45
167,2017-10-08 12:20:00,letter,0.3,Cook Islands,12.0
168,2017-12-30 14:00:00,parcel,13.59,Ukraine,280.85
169,2016-08-07 16:21:00,parcel,10.09,Vanuatu,161.41
170,2016-03-26 16:16:00,letter,0.23,Netherlands,9.0
171,2016-05-26 14:32:00,letter,0.11,Cook Islands,6.0
171,2016-05-26 14:32:00,parcel,16.24,Hungary,341.29
172,2017-02-13 14:41:00,letter,0.42,Spain,18.0
173,2017-08-24 10:44:00,letter,0.39,China,12.0
174,2017-11-05 15:20:00,parcel,14.75,Tonga,161.41
174,2017-11-05 15:20:00,parcel,17.22,Tonga,187.37
175,2016-01-16 10:59:00,letter,0.49,Serbia,18.0
176,2017-11-01 09:13:00,letter,0.35,New Zealand,11.0
177,2017-04-23 14:22:00,parcel,6.55,Hungary,280.85
177,2017-04-23 14:22:00,letter,0.17,Austria,9.0
177,2017-04-23 14:22:00,letter,0.28,Thailand,12.0
178,2016-03-10 10:33:00,letter,0.43,Nigeria,18.0
178,2016-03-10 10:33:00,letter,0.34,United States,18.0
179,2016-03-22 14:17:00,letter,0.38,Philippines,12.0
180,2016-05-24 11:12:00,parcel,14.12,Estonia,280.85
181,2016-04-28 11:24:00,letter,0.17,Hong Kong,6.0
182,2017-03-02 13:24:00,letter,0.31,Malta,18.0
183,2016-09-25 14:49:00,letter,0.12,Kuwait,9.0
183,2016-09-25 14:49:00,letter,0.38,Brazil,18.0
183,2016-09-25 14:49:00,letter,0.31,Belgium,18.0
184,2016-05-17 08:30:00,letter,0.27,Myanmar,12.0
184,2016-05-17 08:30:00,parcel,15.18,Slovenia,341.29
185,2016-12-10 10:03:00,parcel,19.8,Qatar,359.45
185,2016-12-10 10:03:00,letter,0.43,Mauritius,18.0
185,2016-12-10 10:03:00,parcel,4.95,Serbia,128.08
186,2017-03-30 13:39:00,letter,0.28,Russian Federation,18.0
186,2017-03-30 13:39:00,letter,0.48,China,12.0
187,2017-09-07 10:59:00,letter,0.21,Macedonia - The Former Yugoslav Republic Of,9.0
187,2017-09-07 10:59:00,letter,0.47,Sweden,18.0
188,2017-09-13 12:31:00,letter,0.17,Nauru,6.0
189,2017-05-02 15:14:00,letter,0.17,Macedonia - The Former Yugoslav Republic Of,9.0
190,2016-02-04 10:15:00,parcel,14.17,Netherlands,178.94
190,2016-02-04 10:15:00,letter,0.4,Ireland,18.0
191,2016-09-02 17:11:00,letter,0.49,Bahrain,18.0
192,2016-09-27 17:46:00,letter,0.3,Brunei Darussalam,12.0
192,2016-09-27 17:46:00,letter,0.17,Sweden,9.0
192,2016-09-27 17:46:00,letter,0.48,South Africa,18.0
193,2016-04-24 13:05:00,letter,0.22,Singapore,6.0
194,2016-05-07 13:59:00,letter,0.21,Portugal,9.0
194,2016-05-07 13:59:00,letter,0.22,Samoa,6.0
194,2016-05-07 13:59:00,letter,0.33,Bahrain,18.0
195,2017-10-03 14:52:00,letter,0.28,United States,18.0
195,2017-10-03 14:52:00,letter,0.36,Malaysia,12.0
195,2017-10-03 14:52:00,parcel,8.7,Spain,178.94
196,2017-02-02 11:19:00,letter,0.15,Cyprus,9.0
197,2016-02-18 16:16:00,letter,0.48,French Polynesia,12.0
197,2016-02-18 16:16:00,letter,0.28,Netherlands,18.0
197,2016-02-18 16:16:00,letter,0.31,Iran - Islamic Republic Of,18.0
198,2016-03-19 12:22:00,parcel,16.06,Solomon Islands,187.37
198,2016-03-19 12:22:00,letter,0.44,Taiwan - Province Of China,12.0
199,2017-02-16 10:19:00,letter,0.23,Solomon Islands,6.0
199,2017-02-16 10:19:00,letter,0.35,Greece,18.0
199,2017-02-16 10:19:00,letter,0.37,Netherlands,18.0
200,2017-08-20 12:04:00,parcel,4.71,Kenya,135.21
200,2017-08-20 12:04:00,parcel,6.21,Saudi Arabia,295.99
200,2017-08-20 12:04:00,parcel,14.82,Hungary,280.85
201,2017-08-10 10:00:00,parcel,16.27,Mexico,359.45
201,2017-08-10 10:00:00,letter,0.22,Singapore,6.0
202,2017-03-27 14:08:00,parcel,10.25,Vanuatu,161.41
202,2017-03-27 14:08:00,letter,0.27,Croatia,18.0
203,2016-04-20 15:40:00,letter,0.16,Indonesia,6.0
204,2016-04-30 16:20:00,parcel,2.99,Indonesia,69.54
204,2016-04-30 16:20:00,parcel,4.04,Chile,135.21
204,2016-04-30 16:20:00,letter,0.19,Vietnam,6.0
205,2016-07-01 13:37:00,parcel,14.33,Singapore,153.39
205,2016-07-01 13:37:00,letter,0.38,Bahrain,18.0
205,2016-07-01 13:37:00,letter,0.24,Netherlands,9.0
206,2017-11-21 11:46:00,parcel,9.69,Macedonia - The Former Yugoslav Republic Of,280.85
207,2017-01-05 15:14:00,letter,0.38,Denmark,18.0
207,2017-01-05 15:14:00,letter,0.47,Malta,18.0
207,2017-01-05 15:14:00,letter,0.42,Netherlands,18.0
208,2017-05-03 13:44:00,letter,0.26,Myanmar,12.0
208,2017-05-03 13:44:00,parcel,19.23,Poland,341.29
209,2017-03-24 09:49:00,letter,0.19,Canada,9.0
209,2017-03-24 09:49:00,parcel,3.12,Thailand,81.73
209,2017-03-24 09:49:00,parcel,9.4,Israel,295.99
210,2017-05-31 14:01:00,letter,0.3,Singapore,12.0
210,2017-05-31 14:01:00,parcel,6.05,Norway,178.94
210,2017-05-31 14:01:00,letter,0.39,Sweden,18.0
211,2017-12-29 13:19:00,letter,0.37,South Africa,18.0
212,2017-10-23 13:37:00,parcel,13.91,Japan,153.39
212,2017-10-23 13:37:00,parcel,19.17,Russian Federation,341.29
212,2017-10-23 13:37:00,letter,0.36,Malta,18.0
213,2016-07-30 12:30:00,letter,0.43,Singapore,12.0
214,2016-01-29 16:48:00,letter,0.47,Romania,18.0
215,2017-12-09 12:39:00,letter,0.21,Israel,9.0
215,2017-12-09 12:39:00,letter,0.22,Serbia,9.0
215,2017-12-09 12:39:00,letter,0.34,Netherlands,18.0
216,2016-02-05 14:01:00,parcel,16.07,Lao People's Democratic Republic,187.37
216,2016-02-05 14:01:00,parcel,18.89,Estonia,341.29
217,2016-05-15 10:24:00,parcel,2.96,Mexico,112.48
217,2016-05-15 10:24:00,letter,0.12,Poland,9.0
217,2016-05-15 10:24:00,letter,0.47,New Caledonia,12.0
218,2016-05-04 12:03:00,letter,0.5,Ukraine,18.0
219,2016-04-18 12:41:00,letter,0.26,China,12.0
219,2016-04-18 12:41:00,parcel,15.92,Slovenia,341.29
219,2016-04-18 12:41:00,letter,0.18,India,6.0
220,2016-02-02 09:36:00,parcel,17.76,Malta,341.29
221,2017-10-31 09:17:00,letter,0.23,Myanmar,6.0
221,2017-10-31 09:17:00,parcel,14.16,Israel,295.99
221,2017-10-31 09:17:00,parcel,16.82,Philippines,187.37
222,2016-01-06 12:57:00,letter,0.45,French Polynesia,12.0
223,2016-07-11 13:34:00,letter,0.47,Saudi Arabia,18.0
223,2016-07-11 13:34:00,parcel,19.74,Sweden,206.04
223,2016-07-11 13:34:00,letter,0.4,Bahrain,18.0
224,2017-11-29 10:25:00,letter,0.41,Korea - Republic Of,12.0
225,2017-02-02 13:37:00,letter,0.5,Fiji,12.0
225,2017-02-02 13:37:00,letter,0.11,Korea - Republic Of,6.0
226,2016-09-23 13:34:00,letter,0.45,Turkey,18.0
226,2016-09-23 13:34:00,parcel,0.61,Argentina,57.65
226,2016-09-23 13:34:00,letter,0.5,Israel,18.0
227,2017-02-05 09:13:00,parcel,17.5,South Africa,341.29
228,2016-03-16 13:37:00,parcel,8.53,Bahrain,295.99
228,2016-03-16 13:37:00,parcel,15.58,Argentina,359.45
229,2017-06-02 11:43:00,letter,0.43,New Zealand,11.0
229,2017-06-02 11:43:00,letter,0.38,Lao People's Democratic Republic,12.0
230,2016-12-19 16:11:00,letter,0.46,Iran - Islamic Republic Of,18.0
230,2016-12-19 16:11:00,letter,0.39,Germany,18.0
231,2017-03-24 10:04:00,letter,0.36,Romania,18.0
232,2016-05-16 16:43:00,letter,0.17,Myanmar,6.0
232,2016-05-16 16:43:00,parcel,9.3,Denmark,280.85
232,2016-05-16 16:43:00,letter,0.26,Samoa,12.0
233,2017-03-30 15:45:00,letter,0.34,Switzerland,18.0
234,2016-11-30 10:10:00,letter,0.2,Sweden,9.0
